"","X","pubDate","title","author","rating","ratingCount","reviewCount","synopsis","pageCount","genres","Fiction","Fantasy","Romance","Young Adult","Mystery","Historical","Contemporary","Nonfiction","Thriller","Science Fiction"
"346",346,1995-01-01,"Black Hole","Charles Burns",3.83,38575,2159,"  Suburban Seattle, the mid-1970s. We learn from the out-set that a strange plague has descended upon the area’s teenagers, transmitted by sexual contact. The disease is manifested in any number of ways — from the hideously grotesque to the subtle (and concealable) — but once you’ve got it, that’s it. There’s no turning back.As we inhabit the heads of several key characters — some kids who have it, some who don’t, some who are about to get it — what unfolds isn’t the expected battle to fight the plague, or bring heightened awareness to it , or even to treat it. What we become witness to instead is a fascinating and eerie portrait of the nature of high school alienation itself — the savagery, the cruelty, the relentless anxiety and ennui, the longing for escape.And then the murders start.As hypnotically beautiful as it is horrifying, Black Hole transcends its genre by deftly exploring a specific American cultural moment in flux and the kids who are caught in it- back when it wasn’t exactly cool to be a hippie anymore, but Bowie was still just a little too weird. To say nothing of sprouting horns and molting your skin…",368,"Sequential Art,Graphic Novels,Sequential Art,Comics,Horror,Fiction,Graphic Novels Comics",1,0,0,0,0,0,0,0,0,0
"347",347,1995-01-01,"Maskerade","Terry Pratchett",4.08,45672,1127,"Granny Weatherwax and Nanny Ogg, the Discworld's greatest witches, are back for an innocent night at the opera. Naturally there's going to be trouble, but at the same time there'll be a good evening's entertainment with murders that you can really hum to.",285,"Fantasy,Fiction,Humor",1,1,0,0,0,0,0,0,0,0
"348",348,1995-01-01,"The Horse Whisperer","Nicholas Evans",3.8,47568,1771,"  His name is Tom Booker. His voice can calm wild horses, his touch can heal broken spirits. And Annie Graves has traveled across a continent to the Booker ranch in Montana, desperate to heal her injured daughter, the girl's savage horse, and her own wounded heart. She comes for hope. She comes for her child. And beneath the wide Montana sky, she comes to him for what no one else can give her: a reason to believe ...Short-listed for Romantic Novelists' Association Awards: Romantic Novel of the Year 1996",451,"Fiction,Romance,Animals,Animals,Horses,Contemporary",1,0,1,0,0,0,1,0,0,0
"349",349,1995-01-01,"Deal Breaker","Harlan Coben",3.95,39963,2182,"  Sports agent Myron Bolitar is poised on the edge of the big time. So is Christian Steele, a rookie quarterback and Myron's prized client. But when Christian gets a phone call from a former girlfriend, a woman who everyone, including the police, believes is dead, the deal starts to go sour. Trying to unravel the truth about a family's tragedy, a woman's secret, and a man's lies, Myron is up against the dark side of his business where image and talent make you rich, but the truth can get you killed.In novels that crackle with wit and suspense, Edgar Award winner Harlan Coben has created one of the most fascinating and complex heroes in suspense fiction Myron Bolitar a hotheaded, tenderhearted sports agent who grows more and more engaging and unpredictable with each page-turning appearance.",339,"Mystery,Fiction,Thriller,Mystery,Crime,Suspense",1,0,0,0,1,0,0,0,1,0
"350",350,1995-01-01,"The Calvin and Hobbes Tenth Anniversary Book","Bill Watterson",4.63,49465,392,"  Many moons ago, the magic of Calvin and Hobbes first appeared on the funny pages and the world was introduced to a wondrous pair of friends -- a boy and his tiger, who brought new life to the comics page. To celebrate the tenth anniversary of this distinguished partnership, Bill Watterson prepared this special book, sharing his thoughts on cartooning and creating Calvin and Hobbes, illustrated throughout with favorite black-and-white and color cartoons.",208,"Sequential Art,Comics,Humor,Sequential Art,Graphic Novels,Fiction",1,0,0,0,0,0,0,0,0,0
"351",351,1996-01-01,"A Game of Thrones","George R.R. Martin",4.45,1734988,50496,"  Here is the first volume in George R. R. Martin’s magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction.A GAME OF THRONESLong ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister and supernatural forces are massing beyond the kingdom’s protective Wall. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the land they were born to. Sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens.Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; and a determined woman undertakes the most treacherous of journeys. Amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the Starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones.source: georgerrmartin.com",848,"Fantasy,Fiction,Fantasy,Epic Fantasy",1,1,0,0,0,0,0,0,0,0
"352",352,1996-01-01,"The Notebook","Nicholas Sparks",4.08,1176578,18701,"  Set amid the austere beauty of the North Carolina coast, The Notebook begins with the story of Noah Calhoun, a rural Southerner recently returned form the Second World War. Noah is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. Unable to find her, yet unwilling to forget the summer they spent together, Noah is content to live with only memories...until she unexpectedly returns to his town to see him once again.Like a puzzle within a puzzle, the story of Noah and Allie is just the beginning. As it unfolds, their tale miraculously becomes something different, with much higher stakes. The result is a deeply moving portrait of love itself, the tender moments and the fundamental changes that affect us all. It is a story of miracles and emotions that will stay with you forever.",227,"Romance,Fiction,Womens Fiction,Chick Lit,Contemporary",1,0,1,0,0,0,1,0,0,0
"353",353,1996-01-01,"Into the Wild","Jon Krakauer",3.97,776052,19624,"  Librarian's Note: An alternate cover edition can be found hereIn April, 1992, a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, a party of moose hunters found his decomposed body. How McCandless came to die is the unforgettable story of Into the Wild.Immediately after graduating from college in 1991, McCandless had roamed through the West and Southwest on a vision quest like those made by his heroes Jack London and John Muir. In the Mojave Desert he abandoned his car, stripped it of its license plates, and burned all of his cash. He would give himself a new name, Alexander Supertramp, and, unencumbered by money and belongings, he would be free to wallow in the raw, unfiltered experiences that nature presented. Craving a blank spot on the map, McCandless simply threw away the maps. Leaving behind his desperate parents and sister, he vanished into the wild.",207,"Nonfiction,Biography,Adventure,Travel",0,0,0,0,0,0,0,1,0,0
"354",354,1996-01-01,"Fight Club","Chuck Palahniuk",4.2,437084,12808,"  Chuck Palahniuk showed himself to be his generation’s most visionary satirist in this, his first book. Fight Club’s estranged narrator leaves his lackluster job when he comes under the thrall of Tyler Durden, an enigmatic young man who holds secret after-hours boxing matches in the basement of bars. There, two men fight ""as long as they have to."" This is a gloriously original work that exposes the darkness at the core of our modern world.",224,"Fiction,Contemporary,Classics,Thriller,Novels",1,0,0,0,0,0,1,0,1,0
"355",355,1996-01-01,"Neverwhere","Neil Gaiman",4.18,369681,19600,"  Under the streets of London there's a place most people could never even dream of. A city of monsters and saints, murderers and angels, knights in armour and pale girls in black velvet. This is the city of the people who have fallen between the cracks.Richard Mayhew, a young businessman, is going to find out more than enough about this other London. A single act of kindness catapults him out of his workday existence and into a world that is at once eerily familiar and utterly bizarre. And a strange destiny awaits him down here, beneath his native city: Neverwhere.",370,"Fantasy,Fiction,Fantasy,Urban Fantasy,Science Fiction Fantasy",1,1,0,0,0,0,0,0,0,1
"356",356,1996-01-01,"Angela's Ashes","Frank McCourt",4.09,483106,10933,"  Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood."" So begins the Pulitzer Prize winning memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank's mother, Angela, has no money to feed the children since Frank's father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy-- exasperating, irresponsible and beguiling-- does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father's tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies. Perhaps it is story that accounts for Frank's survival. Wearing rags for diapers, begging a pig's head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors--yet lives to tell his tale with eloquence, exuberance and remarkable forgiveness. Angela's Ashes, imbued on every page with Frank McCourt's astounding humor and compassion, is a glorious book that bears all the marks of a classic.",452,"Nonfiction,Autobiography,Memoir,Biography",0,0,0,0,0,0,0,1,0,0
"357",357,1996-01-01,"Under the Tuscan Sun","Frances Mayes",3.75,302386,3392,"  An enchanting and lyrical look at the life, the traditions, and the cuisine of Tuscany, in the spirit of Peter Mayle's A Year in Provence. Frances Mayes entered a wondrous new world when she began restoring an abandoned villa in the spectacular Tuscan countryside. There were unexpected treasures at every turn: faded frescos beneath the whitewash in her dining room, a vineyard under wildly overgrown brambles in the garden, and, in the nearby hill towns, vibrant markets and delightful people. In Under the Tuscan Sun, she brings the lyrical voice of a poet, the eye of a seasoned traveler, and the discerning palate of a cook and food writer to invite readers to explore the pleasures of Italian life and to feast at her table.",304,"Travel,Nonfiction,Autobiography,Memoir,Cultural,Italy,Romance,Biography,Womens Fiction,Chick Lit,Food and Drink,Food,Contemporary,Biography Memoir",1,0,1,0,0,0,1,1,0,0
"358",358,1996-01-01,"The Ultimate Hitchhiker's Guide to the Galaxy","Douglas Adams",4.38,258017,4832,"  At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ""The Hitchhiker's Guide to the Galaxy""Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.""The Restaurant at the End of the Universe""Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.""Life, the Universe and Everything""The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.""So Long, and Thanks for All the Fish""Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.""Mostly Harmless""Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?Also includes the short story ""Young Zaphod Plays It Safe"".",815,"Science Fiction,Fiction,Humor,Fantasy,Classics",1,1,0,0,0,0,0,0,0,1
"359",359,1996-01-01,"The Green Mile","Stephen King",4.44,219557,6157,"  When it first appeared, one volume per month, Stephen King's THE GREEN MILE was an unprecedented publishing triumph: all six volumes ended up on the New York Times bestseller lists—simultaneously—and delighted millions of fans the world over.Welcome to Cold Mountain Penitentiary, home to the Depression-worn men of E Block. Convicted killers all, each awaits his turn to walk the Green Mile, keeping a date with ""Old Sparky,"" Cold Mountain's electric chair. Prison guard Paul Edgecombe has seen his share of oddities in his years working the Mile. But he's never seen anyone like John Coffey, a man with the body of a giant and the mind of a child, condemned for a crime terrifying in its violence and shocking in its depravity. In this place of ultimate retribution, Edgecombe is about to discover the terrible, wondrous truth about Coffey, a truth that will challenge his most cherished beliefes... and yours.",592,"Horror,Fiction,Fantasy,Thriller",1,1,0,0,0,0,0,0,1,0
"360",360,1996-01-01,"The Runaway Jury","John Grisham",3.97,243817,1902,"  Every jury has a leader, and the verdict belongs to him. In Biloxi, Mississippi, a landmark tobacco trial with hundreds of millions of dollars at stake begins routinely, then swerves mysteriously off course. The jury is behaving strangely, and at least one juror is convinced he's being watched. Soon they have to be sequestered. Then a tip from an anonymous young woman suggests she is able to predict the jurors' increasingly odd behavior. Is the jury somehow being manipulated, or even controlled? If so, by whom? And, more importantly, why?From the Trade Paperback edition.",358,"Fiction,Thriller,Mystery,Mystery,Crime",1,0,0,0,1,0,0,0,1,0
"361",361,1996-01-01,"Drums of Autumn","Diana Gabaldon",4.35,177518,7272,"  In this breathtaking novel, rich in history and adventure, #1 New York Times bestselling author Diana Gabaldon continues the story of Claire Randall and Jamie Fraser that started with the now-classic novel Outlander and continued in Dragonfly in Amber and Voyager. Once again spanning continents and centuries, Gabaldon has created a work of sheer brilliance. What if you knew someone you loved was going to die? What if you thought you could save them? How much would you risk to try?Claire Randall has gone to find Jamie Fraser, the man she loved more than life, and has left half her heart behind with their daughter, Brianna. Claire gave up Jamie to save Brianna, and now Bree has sent her mother back to the Scottish warrior who was willing to give his life to save them both. But a chilling discovery in the pages of history suggests that Jamie and Claire's story doesn't have a happy ending.Brianna dares a terrifying leap into the unknown in search of her mother and the father she has never met, risking her own future to try to change history . . . and to save their lives. But as Brianna plunges into an uncharted wilderness, a heartbreaking encounter may strand her forever in the past . . . or root her in the place she should be, where her heart and soul belong.",928,"Historical,Historical Fiction,Romance,Fantasy,Fiction,Science Fiction,Time Travel,Historical",1,1,1,0,0,1,0,0,0,1
"362",362,1996-01-01,"Infinite Jest","David Foster Wallace",4.3,65801,7958,"  A gargantuan, mind-altering comedy about the Pursuit of Happiness in America. Set in an addicts' halfway house and a tennis academy, and featuring the most endearingly screwed-up family to come along in recent fiction, Infinite Jest explores essential questions about what entertainment is and why it has come to so dominate our lives; about how our desire for entertainment affects our need to connect with other people; and about what the pleasures we choose say about who we are. Equal parts philosophical quest and screwball comedy, Infinite Jest bends every rule of fiction without sacrificing for a moment its own entertainment value. It is an exuberant, uniquely American exploration of the passions that make us human—and one of those rare books that renew the idea of what a novel can do.",1088,"Fiction,Classics,Literature,Novels",1,0,0,0,0,0,0,0,0,0
"363",363,1996-01-01,"Hamlet: Screenplay, Introduction And Film Diary","Kenneth Branagh",4.13,173718,228,"  Often credited with creating a popular movie audience for Shakespeare, Kenneth Branagh has wanted for many years to bring to the screen the complete, full-length version of Hamlet, Shakespeare's greatest play.""The film, like the play, will have something for everyone,"" he says. ""Its a ghost story, a thriller, an action-packed murder mystery, and a great tragedy that is profoundly moving."" With an outstanding cast of international actors--including Derek Jacobi as Claudius, Julie Christie as Gertrude, Kate Winslet as Ophelia, Charlton Heston as the Player King, Robin Williams as Osric, and Gerard Depardieu as Reynaldo--Branagh's version, in which he will play the title role as well as direct, is sure to go down in film history.This beautiful volume includes Branagh's introduction and screenplay adaptation of Shakespeare's text, color and black-and-white stills, and a production diary that takes us behind the scenes for a day-to-day look at the shooting of his film.",224,"Classics,Plays,Fiction,Drama,Literature,Academic,School,Plays,Theatre,Academic,Read For School,Young Adult,High School,Poetry",1,0,0,1,0,0,0,0,0,0
"364",364,1996-01-01,"Two for the Dough","Janet Evanovich",4.11,137831,4405,"  This one's double the fun!Bounty hunter Stephanie Plum is still learning the ropes at her cousin Vinnie's bail bond office, so when she sets out on the trail of Kenny Mancuso - a suspiciously weatlhy, working class Trenton boy who has just shot his best friend - the stakes are higher than ever. That Mancuso is distantly related to vice cop Joe Morelli - who is trying to beat Stephanie to the punch - only makes the hunt more thrilling...Taking pointers from her bounty hunter pal, Ranger, and using her pistol packing Grandma Mazur as a decoy, Stephanie is soon closing in on her mark. But Morelli and his libido are worthy foes. And a more sinister kind of enemy has made his first move... and his next move might be Stephanie's last.",326,"Mystery,Fiction,Humor,Womens Fiction,Chick Lit,Romance",1,0,1,0,1,0,0,0,0,0
"365",365,1996-01-01,"The Thief","Megan Whalen Turner",3.89,55757,6546,"  The king's scholar, the magus, believes he knows the site of an ancient treasure. To attain it for his king, he needs a skillful thief, and he selects Gen from the king's prison. The magus is interested only in the thief's abilities. What Gen is interested in is anyone's guess. Their journey toward the treasure is both dangerous and difficult, lightened only imperceptibly by the tales they tell of the old gods and goddesses.",280,"Fantasy,Young Adult,Fiction,Adventure,Historical,Historical Fiction",1,1,0,1,0,1,0,0,0,0
"366",366,1996-01-01,"Alias Grace","Margaret Atwood",4.02,90659,5288,"  It's 1843, and Grace Marks has been convicted for her involvement in the vicious murders of her employer and his housekeeper and mistress. Some believe Grace is innocent; others think her evil or insane. Now serving a life sentence, Grace claims to have no memory of the murders.An up-and-coming expert in the burgeoning field of mental illness is engaged by a group of reformers and spiritualists who seek a pardon for Grace. He listens to her story while bringing her closer and closer to the day she cannot remember. What will he find in attempting to unlock her memories?Captivating and disturbing, Alias Grace showcases best-selling, Booker Prize-winning author Margaret Atwood at the peak of her powers.",468,"Fiction,Historical,Historical Fiction,Mystery,Historical,Cultural,Canada",1,0,0,0,1,1,0,0,0,0
"367",367,1996-01-01,"Royal Assassin","Robin Hobb",4.23,129127,3672,"  Fitz has survived his first hazardous mission as king’s assassin, but is left little more than a cripple. Battered and bitter, he vows to abandon his oath to King Shrewd, remaining in the distant mountains. But love and events of terrible urgency draw him back to the court at Buckkeep, and into the deadly intrigues of the royal family.Renewing their vicious attacks on the coast, the Red-Ship Raiders leave burned-out villages and demented victims in their wake. The kingdom is also under assault from within, as treachery threatens the throne of the ailing king. In this time of great danger, the fate of the kingdom may rest in Fitz’s hands—and his role in its salvation may require the ultimate sacrifice.",675,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy",1,1,0,0,0,0,0,0,0,0
"368",368,1996-01-01,"Falling Up","Shel Silverstein",4.34,117478,1461,"Poor Screamin' Millie is just one of the unforgettable characters in this wondrous new book of poems and drawings by the creator of Where the Sidewalk Ends and A Light in the Attic. Here you will also meet Allison Beals and her twenty-five eels; Danny O'Dare, the dancin' bear; the Human Balloon; and Headphone Harold.So come, wander through the Nose Garden, ride the Little Hoarse, eat in the Strange Restaurant, and let the magic of Shel Silverstein open your eyes and tickle your mind.",178,"Childrens,Poetry,Humor,Young Adult",0,0,0,1,0,0,0,0,0,0
"369",369,1996-01-01,"Desperation","Stephen King",3.81,110212,2210,"Alternate Cover Edition ISBN 0451188462 (ISBN13: 9780451188465)There's a place along Interstate 50 that some call the loneliest place on Earth. It's known as Desperation, Nevada.It's not a very nice place to live. It's an even worse place to die.Let the battle against evil begin.Welcome to ... Desperation(back cover)",547,"Horror,Fiction",1,0,0,0,0,0,0,0,0,0
"370",370,1996-01-01,"The Color of Water: A Black Man's Tribute to His White Mother","James McBride",4.08,93650,4779,"  Touches readers of all colors as a vivid portrait of growing up, a haunting meditation on race and identity, and a lyrical valentine to a mother from her son.Who is Ruth McBride Jordan? A self-declared ""light-skinned"" woman evasive about her ethnicity, yet steadfast in her love for her twelve black children. James McBride, journalist, musician and son, explores his mother's past, as well as his own upbringing and heritage, in a poignant and powerful debut, The Color Of Water: A Black Man's Tribute to His White Mother. The son of a black minister and a woman who would not admit she was white, James McBride grew up in ""orchestrated chaos"" with his eleven siblings in the poor, all-black projects of Red Hook, Brooklyn. ""Mommy,"" a fiercely protective woman with ""dark eyes full of pep and fire,"" herded her brood to Manhattan's free cultural events, sent them off on buses to the best (and mainly Jewish) schools, demanded good grades and commanded respect. As a young man, McBride saw his mother as a source of embarrassment, worry, and confusion--and reached thirty before he began to discover the truth about her early life and long-buried pain. In The Color of Water, McBride retraces his mother's footsteps and, through her searing and spirited voice, recreates her remarkable story. The daughter of a failed itinerant Orthodox rabbi, she was born Rachel Shilsky (actually Ruchel Dwara Zylska) in Poland on April 1, 1921. Fleeing pogroms, her family emigrated to America and ultimately settled in Suffolk, Virginia, a small town where anti-Semitism and racial tensions ran high. With candor and immediacy, Ruth describes her parents' loveless marriage; her fragile, handicapped mother; her cruel, sexually-abusive father; and the rest of the family and life she abandoned. At seventeen, after fleeing Virginia and settling in New York City, Ruth married a black minister and founded the all-black New Brown Memorial Baptist Church in her Red Hook living room. ""God is the color of water,"" Ruth McBride taught her children, firmly convinced that life's blessings and life's values transcend race. Twice widowed, and continually confronting overwhelming adversity and racism, Ruth's determination, drive and discipline saw her dozen children through college--and most through graduate school. At age 65, she herself received a degree in social work from Temple University. Interspersed throughout his mother's compelling narrative, McBride shares candid recollections of his own experiences as a mixed-race child of poverty, his flirtations with drugs and violence, and his eventual self-realization and professional success. The Color of Water touches readers of all colors as a vivid portrait of growing up, a haunting meditation on race and identity, and a lyrical valentine to a mother from her son.",291,"Nonfiction,Autobiography,Memoir,Biography,Cultural,African American",0,0,0,0,0,0,0,1,0,0
"371",371,1996-01-01,"A Crown of Swords","Robert Jordan",4.03,109811,1847,"  The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.Elayne, Aviendha, and Mat come ever closer to the bowl ter'angreal that may reverse the world's endless heat wave and restore natural weather. Egwene begins to gather all manner of women who can channel--Sea Folk, Windfinders, Wise Ones, and some surprising others. And above all, Rand faces the dread Forsaken Sammael, in the shadows of Shadar Logoth, where the blood-hungry mist, Mashadar, waits for prey.",880,"Fantasy,Fiction,Fantasy,Epic Fantasy",1,1,0,0,0,0,0,0,0,0
"372",372,1996-01-01,"The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny","Robin S. Sharma",3.82,83941,4713,"  Wisdom to Create a Life of Passion, Purpose, and PeaceThis inspiring tale provides a step-by-step approach to living with greater courage, balance, abundance, and joy. A wonderfully crafted fable, The Monk Who Sold His Ferrari tells the extraordinary story of Julian Mantle, a lawyer forced to confront the spiritual crisis of his out-of-balance life. On a life-changing odyssey to an ancient culture, he discovers powerful, wise, and practical lessons that teach us to:Develop Joyful Thoughts, Follow Our Life's Mission and Calling, Cultivate Self-Discipline and Act Courageously, Value Time as Our Most Important Commodity, Nourish Our Relationships, and Live Fully, One Day at a Time.",208,"Self Help,Nonfiction,Philosophy,Spirituality",0,0,0,0,0,0,0,1,0,0
"373",373,1996-01-01,"The Deep End of the Ocean","Jacquelyn Mitchard",3.86,112356,1170,"  Few first novels receive the kind of attention and acclaim showered on this powerful story—a nationwide bestseller, a critical success, and the first title chosen for Oprah's Book Club. Both highly suspenseful and deeply moving, The Deep End of the Ocean imagines every mother's worst nightmare—the disappearance of a child—as it explores a family's struggle to endure, even against extraordinary odds. Filled with compassion, humor, and brilliant observations about the texture of real life, here is a story of rare power, one that will touch readers' hearts and make them celebrate the emotions that make us all one.",464,"Fiction,Contemporary,Mystery",1,0,0,0,1,0,1,0,0,0
"374",374,1996-01-01,"Children of the Mind","Orson Scott Card",3.75,89999,2249,"",370,"Science Fiction,Fiction,Fantasy,Science Fiction Fantasy",1,1,0,0,0,0,0,0,0,1
"375",375,1996-01-01,"Frindle","Andrew Clements",3.8,95620,3703,"  From bestselling and award-winning author Andrew Clements, a quirky, imaginative tale about creative thought and the power of words that will have readers inventing their own words.Is Nick Allen a troublemaker? He really just likes to liven things up at school -- and he's always had plenty of great ideas. When Nick learns some interesting information about how words are created, suddenly he's got the inspiration for his best plan ever...the frindle. Who says a pen has to be called a pen? Why not call it a frindle? Things begin innocently enough as Nick gets his friends to use the new word. Then other people in town start saying frindle. Soon the school is in an uproar, and Nick has become a local hero. His teacher wants Nick to put an end to all this nonsense, but the funny thing is frindle doesn't belong to Nick anymore. The new word is spreading across the country, and there's nothing Nick can do to stop it.",105,"Realistic Fiction,Childrens,Fiction,Childrens,Middle Grade",1,0,0,0,0,0,0,0,0,0
"376",376,1996-01-01,"We Were the Mulvaneys","Joyce Carol Oates",3.72,87433,2807,"  The Mulvaneys of High Point Farm in Mt. Ephraim, New York, are a large and fortunate clan, blessed with good looks, abundant charisma, and boundless promise. But over the twenty-five year span of this ambitious novel, the Mulvaneys will slide, almost imperceptibly at first, from the pinnacle of happiness, transformed by the vagaries of fate into a scattered collection of lost and lonely souls.It is the youngest son, Judd, now an adult, who attempts to piece together the fragments of the Mulvaneys' former glory, seeking to uncover and understand the secret violation that occasioned the family's tragic downfall. Each of the Mulvaneys endures some form of exile- physical or spiritual - but in the end they find a way to bridge the chasms that have opened up among them, reuniting in the spirit of love and healing.",454,"Fiction,Contemporary",1,0,0,0,0,0,1,0,0,0
"377",377,1996-01-01,"The Sparrow","Mary Doria Russell",4.17,51939,6396,"  In 2019, humanity finally finds proof of extraterrestrial life when a listening post in Puerto Rico picks up exquisite singing from a planet that will come to be known as Rakhat. While United Nations diplomats endlessly debate a possible first contact mission, the Society of Jesus quietly organizes an eight-person scientific expedition of its own. What the Jesuits find is a world so beyond comprehension that it will lead them to question what it means to be ""human"".",431,"Science Fiction,Fiction,Fantasy,Religion",1,1,0,0,0,0,0,0,0,1
"378",378,1996-01-01,"Pope Joan","Donna Woolfolk Cross",4.07,61318,4368,"  A world-wide bestseller, major motion picture and upcoming ""Director's Cut"" TV mini-series exclusively for the U.S!For a thousand years her existence has been denied. She is the legend that will not die–Pope Joan, the ninth-century woman who disguised herself as a man and rose to become the only female ever to sit on the throne of St. Peter. Now in this riveting novel, Donna Woolfolk Cross paints a sweeping portrait of an unforgettable heroine who struggles against restrictions her soul cannot accept.Brilliant and talented, young Joan rebels against medieval social strictures forbidding women to learn. When her brother is brutally killed during a Viking attack, Joan takes up his cloak–and his identity–and enters the monastery of Fulda. As Brother John Anglicus, Joan distinguishes herself as a great scholar and healer. Eventually, she is drawn to Rome, where she becomes enmeshed in a dangerous web of love, passion, and politics. Triumphing over appalling odds, she finally attains the highest office in Christendom–wielding a power greater than any woman before or since. But such power always comes at a price . . .In this international bestseller, Cross brings the Dark Ages to life in all their brutal splendor and shares the dramatic story of a woman whose strength of vision led her to defy the social restrictions of her day.",422,"Historical,Historical Fiction,Fiction,Historical,Religion",1,0,0,0,0,1,0,0,0,0
"379",379,1996-01-01,"The Regulators","Richard Bachman",3.7,66083,1171,"There's a place in Wentworth, Ohio, where summer is in full swing. It's called Poplar Street. Up until now it's been a nice place to live. The idling red van around the corner is about to change all that. Let the battle against evil begin. Here come...The Regulators",512,"Horror,Fiction,Thriller",1,0,0,0,0,0,0,0,1,0
"380",380,1996-01-01,"The Poet","Michael Connelly",4.2,68610,2370,"  Denver crime-beat reporter Jack McEvoy specializes in violent death. So when his homicide detective brother kills himself, McEvoy copes in the only way he knows how--he decides to write the story. But his research leads him to suspect a serial killer is at work--a devious murderer who's killing cops and leaving a trail of poetic clues. It's the news story of a lifetime, if he can get the story without losing his life.",510,"Mystery,Mystery,Crime,Fiction,Thriller,Thriller,Mystery Thriller",1,0,0,0,1,0,0,0,1,0
"381",381,1996-01-01,"Airframe","Michael Crichton",3.69,71127,1736,"  The twin jet plane en route to Denver from Hong Kong is merely a green radar blip half an hour off the California coast when the call comes through to air traffic control:'Socal Approach, this is TransPacific 545. We have an emergency.' The pilot requests priority clearance to land - then comes the bombshell - he needs forty ambulances on the runway.But nothing prepares the rescue workers for the carnage they witness when they enter the plane.Ninety-four passengers are injured. Three dead. The interior cabin virtually destroyed.What happened on board Flight TPA 545?",431,"Fiction,Thriller,Mystery,Science Fiction,Suspense",1,0,0,0,1,0,0,0,1,1
"382",382,1996-01-01,"The Highly Sensitive Person: How to Thrive When the World Overwhelms You","Elaine N. Aron",3.87,24620,1148,"  Do you have a keen imagination and vivid dreams? Is time alone each day as essential to you as food and water? Are you ""too shy"" or ""too sensitive"" according to others? Do noise and confusion quickly overwhelm you? If your answers are yes, you may be a Highly Sensitive Person (HSP).Most of us feel overstimulated every once in a while, but for the HSP, it's a way of life. In this groundbreaking book, Dr. Elaine Aron, a clinical psychologist, workshop leader, and an HSP herself, shows you how to identify this trait in yourself and make the most of it in everyday situations. Drawing on her many years of research and hundreds of interviews, she shows how you can better understand yourself and your trait to create a fuller, richer life.",251,"Psychology,Nonfiction,Self Help,Health,Health,Mental Health",0,0,0,0,0,0,0,1,0,0
